text,intent,split
action_execute visit_first revision_changed recent_execute zone_memory_room evidence_none candidate_none context_bucket_10,NONE,train
action_execute visit_first revision_early recent_execute zone_utility evidence_some candidate_none context_bucket_0,NONE,train
action_execute visit_first revision_changed recent_execute zone_fluorescent evidence_some candidate_none context_bucket_1,NONE,test
action_execute visit_first revision_early recent_execute zone_dark evidence_many candidate_none context_bucket_2,NONE,train
action_execute visit_first revision_changed recent_execute zone_wet evidence_many candidate_none context_bucket_3,NONE,train
action_execute visit_first revision_early recent_execute zone_loop evidence_none candidate_none context_bucket_4,NONE,train
action_execute visit_first revision_changed recent_execute zone_memory_room evidence_none candidate_none context_bucket_5,NONE,train
action_execute visit_first revision_early recent_execute zone_utility evidence_some candidate_none context_bucket_6,NONE,test
action_execute visit_first revision_changed recent_execute zone_fluorescent evidence_some candidate_none context_bucket_7,NONE,train
action_execute visit_first revision_early recent_execute zone_dark evidence_many candidate_none context_bucket_8,NONE,train
action_execute visit_first revision_changed recent_execute zone_wet evidence_many candidate_none context_bucket_9,NONE,train
action_execute visit_first revision_early recent_execute zone_loop evidence_none candidate_none context_bucket_10,NONE,train
action_execute visit_first revision_changed recent_execute zone_memory_room evidence_none candidate_none context_bucket_0,NONE,test
action_execute visit_first revision_early recent_execute zone_utility evidence_some candidate_none context_bucket_1,NONE,train
action_execute visit_first revision_changed recent_execute zone_fluorescent evidence_some candidate_none context_bucket_2,NONE,train
action_execute visit_first revision_early recent_execute zone_dark evidence_many candidate_none context_bucket_3,NONE,train
action_execute visit_first revision_changed recent_execute zone_wet evidence_many candidate_none context_bucket_4,NONE,train
action_execute visit_first revision_early recent_execute zone_loop evidence_none candidate_none context_bucket_5,NONE,test
action_execute visit_first revision_changed recent_execute zone_memory_room evidence_none candidate_none context_bucket_6,NONE,train
action_execute visit_first revision_early recent_execute zone_utility evidence_some candidate_none context_bucket_7,NONE,train
action_execute visit_first revision_changed recent_execute zone_fluorescent evidence_some candidate_none context_bucket_8,NONE,train
action_execute visit_repeat revision_early recent_execute zone_loop evidence_none candidate_none context_bucket_0,NONE,test
action_execute visit_repeat revision_changed recent_execute zone_memory_room evidence_none candidate_none context_bucket_1,NONE,train
action_execute visit_repeat revision_early recent_execute zone_utility evidence_some candidate_none context_bucket_2,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_fluorescent evidence_some candidate_none context_bucket_3,NONE,train
action_execute visit_repeat revision_early recent_execute zone_dark evidence_many candidate_none context_bucket_4,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_wet evidence_many candidate_none context_bucket_5,NONE,test
action_execute visit_repeat revision_early recent_execute zone_loop evidence_none candidate_none context_bucket_6,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_memory_room evidence_none candidate_none context_bucket_7,NONE,train
action_execute visit_repeat revision_early recent_execute zone_utility evidence_some candidate_none context_bucket_8,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_fluorescent evidence_some candidate_none context_bucket_9,NONE,train
action_execute visit_repeat revision_early recent_execute zone_dark evidence_many candidate_none context_bucket_10,NONE,test
action_execute visit_repeat revision_changed recent_execute zone_wet evidence_many candidate_none context_bucket_0,NONE,train
action_execute visit_repeat revision_early recent_execute zone_loop evidence_none candidate_none context_bucket_1,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_memory_room evidence_none candidate_none context_bucket_2,NONE,train
action_execute visit_repeat revision_early recent_execute zone_utility evidence_some candidate_none context_bucket_3,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_fluorescent evidence_some candidate_none context_bucket_4,NONE,test
action_execute visit_repeat revision_early recent_execute zone_dark evidence_many candidate_none context_bucket_5,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_wet evidence_many candidate_none context_bucket_6,NONE,train
action_execute visit_repeat revision_early recent_execute zone_loop evidence_none candidate_none context_bucket_7,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_memory_room evidence_none candidate_none context_bucket_8,NONE,train
action_execute visit_repeat revision_early recent_execute zone_utility evidence_some candidate_none context_bucket_9,NONE,test
action_execute visit_repeat revision_changed recent_execute zone_fluorescent evidence_some candidate_none context_bucket_10,NONE,train
action_execute visit_repeat revision_early recent_execute zone_dark evidence_many candidate_none context_bucket_0,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_wet evidence_many candidate_none context_bucket_1,NONE,train
action_execute visit_repeat revision_early recent_execute zone_loop evidence_none candidate_none context_bucket_2,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_memory_room evidence_none candidate_none context_bucket_3,NONE,test
action_execute visit_repeat revision_early recent_execute zone_utility evidence_some candidate_none context_bucket_4,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_fluorescent evidence_some candidate_none context_bucket_5,NONE,train
action_execute visit_repeat revision_early recent_execute zone_dark evidence_many candidate_none context_bucket_6,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_wet evidence_many candidate_none context_bucket_7,NONE,train
action_execute visit_repeat revision_early recent_execute zone_loop evidence_none candidate_none context_bucket_8,NONE,test
action_execute visit_repeat revision_changed recent_execute zone_memory_room evidence_none candidate_none context_bucket_9,NONE,train
action_execute visit_repeat revision_early recent_execute zone_utility evidence_some candidate_none context_bucket_10,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_fluorescent evidence_some candidate_none context_bucket_0,NONE,train
action_execute visit_repeat revision_early recent_execute zone_dark evidence_many candidate_none context_bucket_1,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_wet evidence_many candidate_none context_bucket_2,NONE,test
action_execute visit_repeat revision_early recent_execute zone_loop evidence_none candidate_none context_bucket_3,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_memory_room evidence_none candidate_none context_bucket_4,NONE,train
action_execute visit_repeat revision_early recent_execute zone_utility evidence_some candidate_none context_bucket_5,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_fluorescent evidence_some candidate_none context_bucket_6,NONE,train
action_execute visit_repeat revision_early recent_execute zone_dark evidence_many candidate_none context_bucket_7,NONE,test
action_execute visit_repeat revision_changed recent_execute zone_wet evidence_many candidate_none context_bucket_8,NONE,train
action_execute visit_repeat revision_early recent_execute zone_loop evidence_none candidate_none context_bucket_9,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_memory_room evidence_none candidate_none context_bucket_10,NONE,train
action_execute visit_repeat revision_early recent_execute zone_utility evidence_some candidate_none context_bucket_0,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_fluorescent evidence_some candidate_none context_bucket_1,NONE,test
action_execute visit_repeat revision_early recent_execute zone_dark evidence_many candidate_none context_bucket_2,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_wet evidence_many candidate_none context_bucket_3,NONE,train
action_execute visit_repeat revision_early recent_execute zone_loop evidence_none candidate_none context_bucket_4,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_memory_room evidence_none candidate_none context_bucket_5,NONE,train
action_execute visit_repeat revision_early recent_execute zone_utility evidence_some candidate_none context_bucket_6,NONE,test
action_execute visit_repeat revision_changed recent_execute zone_fluorescent evidence_some candidate_none context_bucket_7,NONE,train
action_execute visit_repeat revision_early recent_execute zone_dark evidence_many candidate_none context_bucket_8,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_wet evidence_many candidate_none context_bucket_9,NONE,train
action_execute visit_repeat revision_early recent_execute zone_loop evidence_none candidate_none context_bucket_10,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_memory_room evidence_none candidate_none context_bucket_0,NONE,test
action_execute visit_repeat revision_early recent_execute zone_utility evidence_some candidate_none context_bucket_1,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_fluorescent evidence_some candidate_none context_bucket_2,NONE,train
action_execute visit_repeat revision_early recent_execute zone_dark evidence_many candidate_none context_bucket_3,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_wet evidence_many candidate_none context_bucket_4,NONE,train
action_execute visit_repeat revision_early recent_execute zone_loop evidence_none candidate_none context_bucket_5,NONE,test
action_execute visit_repeat revision_changed recent_execute zone_memory_room evidence_none candidate_none context_bucket_6,NONE,train
action_execute visit_repeat revision_early recent_execute zone_utility evidence_some candidate_none context_bucket_7,NONE,train
action_execute visit_repeat revision_changed recent_execute zone_fluorescent evidence_some candidate_none context_bucket_8,NONE,train
action_search visit_first revision_early recent_move zone_loop evidence_none candidate_none context_bucket_0,NONE,test
action_search visit_first revision_changed recent_move zone_memory_room evidence_none candidate_none context_bucket_1,NONE,train
action_search visit_first revision_early recent_move zone_utility evidence_some candidate_none context_bucket_2,NONE,train
action_search visit_first revision_changed recent_move zone_fluorescent evidence_some candidate_none context_bucket_3,NONE,train
action_search visit_first revision_early recent_move zone_dark evidence_many candidate_none context_bucket_4,NONE,train
action_search visit_first revision_changed recent_move zone_wet evidence_many candidate_none context_bucket_5,NONE,test
action_search visit_first revision_early recent_move zone_loop evidence_none candidate_none context_bucket_6,NONE,train
action_search visit_first revision_changed recent_move zone_memory_room evidence_none candidate_none context_bucket_7,NONE,train
action_search visit_first revision_early recent_move zone_utility evidence_some candidate_none context_bucket_8,NONE,train
action_search visit_first revision_changed recent_move zone_fluorescent evidence_some candidate_none context_bucket_9,NONE,train
action_search visit_first revision_early recent_move zone_dark evidence_many candidate_none context_bucket_10,NONE,test
action_search visit_first revision_changed recent_move zone_wet evidence_many candidate_none context_bucket_0,NONE,train
action_search visit_first revision_early recent_move zone_loop evidence_none candidate_none context_bucket_1,NONE,train
action_search visit_first revision_changed recent_move zone_memory_room evidence_none candidate_none context_bucket_2,NONE,train
action_search visit_first revision_early recent_move zone_utility evidence_some candidate_none context_bucket_3,NONE,train
action_search visit_first revision_changed recent_move zone_fluorescent evidence_some candidate_none context_bucket_4,NONE,test
action_search visit_first revision_early recent_move zone_dark evidence_many candidate_none context_bucket_5,NONE,train
action_search visit_first revision_changed recent_move zone_wet evidence_many candidate_none context_bucket_6,NONE,train
action_search visit_first revision_early recent_move zone_loop evidence_none candidate_none context_bucket_7,NONE,train
action_search visit_first revision_changed recent_move zone_memory_room evidence_none candidate_none context_bucket_8,NONE,train
action_search visit_first revision_early recent_move zone_utility evidence_some candidate_none context_bucket_9,NONE,test
action_search visit_first revision_changed recent_move zone_fluorescent evidence_some candidate_none context_bucket_10,NONE,train
action_search visit_first revision_early recent_move zone_dark evidence_many candidate_none context_bucket_0,NONE,train
action_search visit_first revision_changed recent_move zone_wet evidence_many candidate_none context_bucket_1,NONE,train
action_search visit_first revision_early recent_move zone_loop evidence_none candidate_none context_bucket_2,NONE,train
action_search visit_first revision_changed recent_move zone_memory_room evidence_none candidate_none context_bucket_3,NONE,test
action_search visit_first revision_early recent_move zone_utility evidence_some candidate_none context_bucket_4,NONE,train
action_search visit_first revision_changed recent_move zone_fluorescent evidence_some candidate_none context_bucket_5,NONE,train
action_search visit_first revision_early recent_move zone_dark evidence_many candidate_none context_bucket_6,NONE,train
action_search visit_first revision_changed recent_move zone_wet evidence_many candidate_none context_bucket_7,NONE,train
action_search visit_first revision_early recent_move zone_loop evidence_none candidate_none context_bucket_8,NONE,test
action_search visit_first revision_changed recent_move zone_memory_room evidence_none candidate_none context_bucket_9,NONE,train
action_search visit_first revision_early recent_move zone_utility evidence_some candidate_none context_bucket_10,NONE,train
action_search visit_first revision_changed recent_move zone_fluorescent evidence_some candidate_none context_bucket_0,NONE,train
action_search visit_first revision_early recent_move zone_dark evidence_many candidate_none context_bucket_1,NONE,train
action_search visit_first revision_changed recent_move zone_wet evidence_many candidate_none context_bucket_2,NONE,test
action_search visit_first revision_early recent_move zone_loop evidence_none candidate_none context_bucket_3,NONE,train
action_search visit_first revision_changed recent_move zone_memory_room evidence_none candidate_none context_bucket_4,NONE,train
action_search visit_first revision_early recent_move zone_utility evidence_some candidate_none context_bucket_5,NONE,train
action_search visit_first revision_changed recent_move zone_fluorescent evidence_some candidate_none context_bucket_6,NONE,train
action_search visit_first revision_early recent_move zone_dark evidence_many candidate_none context_bucket_7,NONE,test
action_search visit_first revision_changed recent_move zone_wet evidence_many candidate_none context_bucket_8,NONE,train
action_search visit_first revision_early recent_move zone_loop evidence_none candidate_none context_bucket_9,NONE,train
action_search visit_first revision_changed recent_move zone_memory_room evidence_none candidate_none context_bucket_10,NONE,train
action_search visit_first revision_early recent_move zone_utility evidence_some candidate_none context_bucket_0,NONE,train
action_search visit_first revision_changed recent_move zone_fluorescent evidence_some candidate_none context_bucket_1,NONE,test
action_search visit_first revision_early recent_move zone_dark evidence_many candidate_none context_bucket_2,NONE,train
action_search visit_first revision_changed recent_move zone_wet evidence_many candidate_none context_bucket_3,NONE,train
action_search visit_first revision_early recent_move zone_loop evidence_none candidate_none context_bucket_4,NONE,train
action_search visit_first revision_changed recent_move zone_memory_room evidence_none candidate_none context_bucket_5,NONE,train
action_search visit_first revision_early recent_move zone_utility evidence_some candidate_none context_bucket_6,NONE,test
action_search visit_first revision_changed recent_move zone_fluorescent evidence_some candidate_none context_bucket_7,NONE,train
action_search visit_first revision_early recent_move zone_dark evidence_many candidate_none context_bucket_8,NONE,train
action_search visit_first revision_changed recent_move zone_wet evidence_many candidate_none context_bucket_9,NONE,train
action_search visit_first revision_early recent_move zone_loop evidence_none candidate_none context_bucket_10,NONE,train
action_search visit_first revision_changed recent_move zone_memory_room evidence_none candidate_none context_bucket_0,NONE,test
action_search visit_first revision_early recent_move zone_utility evidence_some candidate_none context_bucket_1,NONE,train
action_search visit_first revision_changed recent_move zone_fluorescent evidence_some candidate_none context_bucket_2,NONE,train
action_search visit_first revision_early recent_move zone_dark evidence_many candidate_none context_bucket_3,NONE,train
action_search visit_first revision_changed recent_move zone_wet evidence_many candidate_none context_bucket_4,NONE,train
action_search visit_first revision_early recent_move zone_loop evidence_none candidate_none context_bucket_5,NONE,test
action_search visit_first revision_changed recent_move zone_memory_room evidence_none candidate_none context_bucket_6,NONE,train
action_search visit_first revision_early recent_move zone_utility evidence_some candidate_none context_bucket_7,NONE,train
action_search visit_first revision_changed recent_move zone_fluorescent evidence_some candidate_none context_bucket_8,NONE,train
action_explore visit_repeat revision_early recent_move zone_loop evidence_none candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_0,MAZE_PRESSURE,test
action_explore visit_repeat revision_changed recent_move zone_memory_room evidence_none candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_1,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_utility evidence_some candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_2,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_fluorescent evidence_some candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_3,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_dark evidence_many candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_4,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_wet evidence_many candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_5,MAZE_PRESSURE,test
action_explore visit_repeat revision_early recent_move zone_loop evidence_none candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_6,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_memory_room evidence_none candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_7,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_utility evidence_some candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_8,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_fluorescent evidence_some candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_9,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_dark evidence_many candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_10,MAZE_PRESSURE,test
action_explore visit_repeat revision_changed recent_move zone_wet evidence_many candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_0,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_loop evidence_none candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_1,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_memory_room evidence_none candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_2,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_utility evidence_some candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_3,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_fluorescent evidence_some candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_4,MAZE_PRESSURE,test
action_explore visit_repeat revision_early recent_move zone_dark evidence_many candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_5,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_wet evidence_many candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_6,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_loop evidence_none candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_7,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_memory_room evidence_none candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_8,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_utility evidence_some candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_9,MAZE_PRESSURE,test
action_explore visit_repeat revision_changed recent_move zone_fluorescent evidence_some candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_10,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_dark evidence_many candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_0,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_wet evidence_many candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_1,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_loop evidence_none candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_2,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_memory_room evidence_none candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_3,MAZE_PRESSURE,test
action_explore visit_repeat revision_early recent_move zone_utility evidence_some candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_4,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_fluorescent evidence_some candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_5,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_dark evidence_many candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_6,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_wet evidence_many candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_7,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_loop evidence_none candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_8,MAZE_PRESSURE,test
action_explore visit_repeat revision_changed recent_move zone_memory_room evidence_none candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_9,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_utility evidence_some candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_10,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_fluorescent evidence_some candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_0,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_dark evidence_many candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_1,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_wet evidence_many candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_2,MAZE_PRESSURE,test
action_explore visit_repeat revision_early recent_move zone_loop evidence_none candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_3,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_memory_room evidence_none candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_4,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_utility evidence_some candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_5,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_fluorescent evidence_some candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_6,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_dark evidence_many candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_7,MAZE_PRESSURE,test
action_explore visit_repeat revision_changed recent_move zone_wet evidence_many candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_8,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_loop evidence_none candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_9,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_memory_room evidence_none candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_10,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_utility evidence_some candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_0,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_fluorescent evidence_some candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_1,MAZE_PRESSURE,test
action_explore visit_repeat revision_early recent_move zone_dark evidence_many candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_2,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_wet evidence_many candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_3,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_loop evidence_none candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_4,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_memory_room evidence_none candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_5,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_utility evidence_some candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_6,MAZE_PRESSURE,test
action_explore visit_repeat revision_changed recent_move zone_fluorescent evidence_some candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_7,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_dark evidence_many candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_8,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_wet evidence_many candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_9,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_loop evidence_none candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_10,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_memory_room evidence_none candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_0,MAZE_PRESSURE,test
action_explore visit_repeat revision_early recent_move zone_utility evidence_some candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_1,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_fluorescent evidence_some candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_2,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_dark evidence_many candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_3,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_wet evidence_many candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_4,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_loop evidence_none candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_5,MAZE_PRESSURE,test
action_explore visit_repeat revision_changed recent_move zone_memory_room evidence_none candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_6,MAZE_PRESSURE,train
action_explore visit_repeat revision_early recent_move zone_utility evidence_some candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_7,MAZE_PRESSURE,train
action_explore visit_repeat revision_changed recent_move zone_fluorescent evidence_some candidate_none candidate_maze_pressure candidate_entity_pressure context_bucket_8,MAZE_PRESSURE,train
